address,bank_name,sell_course,buy_course,lat,lon
"г. Минск, пр-т. Победителей, 65 (ТЦ Замок)",Банк РРБ,2.892,2.916,53.926266,27.517472
"г. Минск, Ул. Сурганова, 50 (ТЦ «РИГА»)",Банк Дабрабыт,2.88,2.92,53.9289,27.5875
"г. Минск, ул. Владислава Голубка, 2 (ТЦ ""Бонус"")",Банк Дабрабыт,2.88,2.92,53.926,27.4442
"г. Минск, пр. Дзержинского, 106 (ТЦ «Магнит»)",Банк Дабрабыт,2.88,2.92,53.858474,27.476761
"г. Минск, пр. Жукова, 3",Белагропромбанк,2.903,2.92,53.893548,27.499781
"г.Минск, Русcиянова ул., 7",БСБ Банк,2.88,2.92,53.938617,27.686257
"г.Минск, В.Хоружей ул., 2",БСБ Банк,2.88,2.92,53.916965,27.581461
"г.Минск, Меньковский тракт, 2",БСБ Банк,2.88,2.92,53.855043,27.42119
"г.Минск, Меньковский тракт, 2",БСБ Банк,2.88,2.92,53.855043,27.42119
"г.Минск, Меньковский тракт, 2",БСБ Банк,2.88,2.92,53.855043,27.42119
"г.Минск, Независимости пр.,23",БСБ Банк,2.88,2.92,53.901309,27.559775
"г.Минск, пр-т Рокоссовского, 2",БСБ Банк,2.88,2.92,53.874963,27.595686
"г.Минск, пр-т Рокоссовского, 2",БСБ Банк,2.88,2.92,53.874963,27.595686
"г.Минск, ул.Уманская, 54",БСБ Банк,2.88,2.92,53.874981,27.498221
"г.Минск, Мележа ул., 5",БСБ Банк,2.88,2.92,53.940517,27.597034
"г.Минск, пр-т Дзержинского, 104",БСБ Банк,2.88,2.92,53.861872,27.480399
"г. Минск, Привокзальная пл, 3 (Железнодорожный вокзал, 3 этаж)",МТБанк,2.87,2.92,53.890772,27.550982
"г. Минск, Есенина, 76",МТБанк,2.87,2.92,53.861645,27.444575
